term,estimate,se,nct_id,model_n,outcome
I(como_cnt^2),0.079,0.061,NCT01106625,53,early_withdrawal
sexTRUE:armtreat,0.184,0.494,NCT01106625,53,early_withdrawal
armtreat:como_cnt,0.944,0.635,NCT01106625,53,early_withdrawal
armtreat:I(como_cnt^2),-0.143,0.092,NCT01106625,53,early_withdrawal
(Intercept),-0.405,0.228,NCT01106625,54,early_withdrawal
sexTRUE,0.194,0.325,NCT01106625,54,early_withdrawal
armtreat,-0.713,0.361,NCT01106625,54,early_withdrawal
sexTRUE:armtreat,0.179,0.486,NCT01106625,54,early_withdrawal
(Intercept),-1.244,0.304,NCT01081834,1,early_withdrawal
age_std,-0.235,0.168,NCT01081834,1,early_withdrawal
sexTRUE,-0.158,0.237,NCT01081834,1,early_withdrawal
como_cnt,-0.023,0.095,NCT01081834,1,early_withdrawal
(Intercept),-1.337,0.468,NCT01081834,2,early_withdrawal
age_std,-0.235,0.168,NCT01081834,2,early_withdrawal
sexTRUE,-0.157,0.237,NCT01081834,2,early_withdrawal
como_cnt,0.057,0.322,NCT01081834,2,early_withdrawal
I(como_cnt^2),-0.013,0.052,NCT01081834,2,early_withdrawal
(Intercept),-0.607,0.393,NCT01081834,3,early_withdrawal
age_std,-0.277,0.171,NCT01081834,3,early_withdrawal
sexTRUE,-0.194,0.243,NCT01081834,3,early_withdrawal
como_cnt,-0.091,0.127,NCT01081834,3,early_withdrawal
armtreat,-1.15,0.502,NCT01081834,3,early_withdrawal
como_cnt:armtreat,0.08,0.191,NCT01081834,3,early_withdrawal
(Intercept),-0.736,0.643,NCT01081834,4,early_withdrawal
age_std,-0.277,0.171,NCT01081834,4,early_withdrawal
sexTRUE,-0.195,0.243,NCT01081834,4,early_withdrawal
armtreat,-0.871,0.876,NCT01081834,4,early_withdrawal
como_cnt,0.018,0.446,NCT01081834,4,early_withdrawal
I(como_cnt^2),-0.018,0.071,NCT01081834,4,early_withdrawal
armtreat:como_cnt,-0.164,0.657,NCT01081834,4,early_withdrawal
armtreat:I(como_cnt^2),0.041,0.105,NCT01081834,4,early_withdrawal
(Intercept),-1.305,0.171,NCT01081834,5,early_withdrawal
age_std,-0.245,0.162,NCT01081834,5,early_withdrawal
sexTRUE,-0.151,0.235,NCT01081834,5,early_withdrawal
(Intercept),-0.674,0.359,NCT01081834,6,early_withdrawal
armtreat,-0.936,0.355,NCT01081834,6,early_withdrawal
age_std,-0.437,0.223,NCT01081834,6,early_withdrawal
sexTRUE,-0.327,0.324,NCT01081834,6,early_withdrawal
como_cnt,-0.064,0.099,NCT01081834,6,early_withdrawal
armtreat:age_std,0.385,0.338,NCT01081834,6,early_withdrawal
armtreat:sexTRUE,0.309,0.486,NCT01081834,6,early_withdrawal
(Intercept),-0.689,0.511,NCT01081834,7,early_withdrawal
armtreat,-0.936,0.356,NCT01081834,7,early_withdrawal
age_std,-0.437,0.223,NCT01081834,7,early_withdrawal
sexTRUE,-0.327,0.324,NCT01081834,7,early_withdrawal
como_cnt,-0.052,0.324,NCT01081834,7,early_withdrawal
I(como_cnt^2),-0.002,0.051,NCT01081834,7,early_withdrawal
armtreat:age_std,0.385,0.338,NCT01081834,7,early_withdrawal
armtreat:sexTRUE,0.309,0.487,NCT01081834,7,early_withdrawal
(Intercept),-0.626,0.432,NCT01081834,8,early_withdrawal
armtreat,-1.04,0.629,NCT01081834,8,early_withdrawal
age_std,-0.43,0.226,NCT01081834,8,early_withdrawal
sexTRUE,-0.336,0.327,NCT01081834,8,early_withdrawal
como_cnt,-0.081,0.131,NCT01081834,8,early_withdrawal
armtreat:age_std,0.367,0.35,NCT01081834,8,early_withdrawal
armtreat:sexTRUE,0.32,0.49,NCT01081834,8,early_withdrawal
armtreat:como_cnt,0.04,0.199,NCT01081834,8,early_withdrawal
(Intercept),-0.755,0.667,NCT01081834,9,early_withdrawal
armtreat,-0.778,0.957,NCT01081834,9,early_withdrawal
age_std,-0.43,0.226,NCT01081834,9,early_withdrawal
sexTRUE,-0.334,0.327,NCT01081834,9,early_withdrawal
como_cnt,0.025,0.443,NCT01081834,9,early_withdrawal
I(como_cnt^2),-0.018,0.07,NCT01081834,9,early_withdrawal
armtreat:age_std,0.367,0.35,NCT01081834,9,early_withdrawal
armtreat:sexTRUE,0.314,0.49,NCT01081834,9,early_withdrawal
armtreat:como_cnt,-0.186,0.653,NCT01081834,9,early_withdrawal
armtreat:I(como_cnt^2),0.038,0.104,NCT01081834,9,early_withdrawal
(Intercept),-0.857,0.227,NCT01081834,10,early_withdrawal
armtreat,-0.913,0.353,NCT01081834,10,early_withdrawal
age_std,-0.465,0.219,NCT01081834,10,early_withdrawal
sexTRUE,-0.294,0.32,NCT01081834,10,early_withdrawal
armtreat:age_std,0.381,0.337,NCT01081834,10,early_withdrawal
armtreat:sexTRUE,0.283,0.485,NCT01081834,10,early_withdrawal
(Intercept),-1.228,0.307,NCT01081834,11,early_withdrawal
age_std,-0.327,0.264,NCT01081834,11,early_withdrawal
I(age_std^2),-0.089,0.194,NCT01081834,11,early_withdrawal
sexTRUE,-0.169,0.238,NCT01081834,11,early_withdrawal
como_cnt,-0.018,0.095,NCT01081834,11,early_withdrawal
(Intercept),-1.315,0.469,NCT01081834,12,early_withdrawal
age_std,-0.325,0.264,NCT01081834,12,early_withdrawal
I(age_std^2),-0.087,0.194,NCT01081834,12,early_withdrawal
sexTRUE,-0.168,0.238,NCT01081834,12,early_withdrawal
como_cnt,0.057,0.321,NCT01081834,12,early_withdrawal
I(como_cnt^2),-0.013,0.052,NCT01081834,12,early_withdrawal
(Intercept),-0.583,0.395,NCT01081834,13,early_withdrawal
age_std,-0.395,0.268,NCT01081834,13,early_withdrawal
I(age_std^2),-0.115,0.198,NCT01081834,13,early_withdrawal
sexTRUE,-0.209,0.245,NCT01081834,13,early_withdrawal
como_cnt,-0.085,0.128,NCT01081834,13,early_withdrawal
armtreat,-1.149,0.502,NCT01081834,13,early_withdrawal
como_cnt:armtreat,0.078,0.191,NCT01081834,13,early_withdrawal
(Intercept),-0.719,0.641,NCT01081834,14,early_withdrawal
age_std,-0.402,0.269,NCT01081834,14,early_withdrawal
I(age_std^2),-0.121,0.198,NCT01081834,14,early_withdrawal
sexTRUE,-0.21,0.245,NCT01081834,14,early_withdrawal
armtreat,-0.84,0.877,NCT01081834,14,early_withdrawal
como_cnt,0.03,0.443,NCT01081834,14,early_withdrawal
I(como_cnt^2),-0.019,0.07,NCT01081834,14,early_withdrawal
armtreat:como_cnt,-0.194,0.659,NCT01081834,14,early_withdrawal
armtreat:I(como_cnt^2),0.046,0.106,NCT01081834,14,early_withdrawal
(Intercept),-1.275,0.182,NCT01081834,15,early_withdrawal
age_std,-0.339,0.256,NCT01081834,15,early_withdrawal
I(age_std^2),-0.093,0.193,NCT01081834,15,early_withdrawal
sexTRUE,-0.164,0.237,NCT01081834,15,early_withdrawal
(Intercept),-0.743,0.371,NCT01081834,16,early_withdrawal
armtreat,-0.77,0.38,NCT01081834,16,early_withdrawal
age_std,-0.324,0.323,NCT01081834,16,early_withdrawal
I(age_std^2),0.124,0.254,NCT01081834,16,early_withdrawal
sexTRUE,-0.304,0.326,NCT01081834,16,early_withdrawal
como_cnt,-0.057,0.1,NCT01081834,16,early_withdrawal
armtreat:age_std,-0.238,0.577,NCT01081834,16,early_withdrawal
armtreat:I(age_std^2),-0.621,0.454,NCT01081834,16,early_withdrawal
armtreat:sexTRUE,0.232,0.49,NCT01081834,16,early_withdrawal
(Intercept),-0.727,0.518,NCT01081834,17,early_withdrawal
armtreat,-0.771,0.38,NCT01081834,17,early_withdrawal
age_std,-0.324,0.323,NCT01081834,17,early_withdrawal
I(age_std^2),0.124,0.254,NCT01081834,17,early_withdrawal
sexTRUE,-0.304,0.326,NCT01081834,17,early_withdrawal
como_cnt,-0.07,0.329,NCT01081834,17,early_withdrawal
I(como_cnt^2),0.002,0.052,NCT01081834,17,early_withdrawal
armtreat:age_std,-0.239,0.577,NCT01081834,17,early_withdrawal
armtreat:I(age_std^2),-0.622,0.454,NCT01081834,17,early_withdrawal
armtreat:sexTRUE,0.232,0.49,NCT01081834,17,early_withdrawal
(Intercept),-0.659,0.438,NCT01081834,18,early_withdrawal
armtreat,-0.953,0.639,NCT01081834,18,early_withdrawal
age_std,-0.307,0.327,NCT01081834,18,early_withdrawal
I(age_std^2),0.129,0.255,NCT01081834,18,early_withdrawal
sexTRUE,-0.319,0.329,NCT01081834,18,early_withdrawal
como_cnt,-0.087,0.132,NCT01081834,18,early_withdrawal
armtreat:age_std,-0.284,0.59,NCT01081834,18,early_withdrawal
armtreat:I(age_std^2),-0.636,0.456,NCT01081834,18,early_withdrawal
armtreat:sexTRUE,0.252,0.493,NCT01081834,18,early_withdrawal
armtreat:como_cnt,0.072,0.201,NCT01081834,18,early_withdrawal
(Intercept),-0.78,0.673,NCT01081834,19,early_withdrawal
armtreat,-0.606,0.97,NCT01081834,19,early_withdrawal
age_std,-0.31,0.327,NCT01081834,19,early_withdrawal
I(age_std^2),0.127,0.254,NCT01081834,19,early_withdrawal
sexTRUE,-0.317,0.329,NCT01081834,19,early_withdrawal
como_cnt,0.013,0.447,NCT01081834,19,early_withdrawal
I(como_cnt^2),-0.017,0.071,NCT01081834,19,early_withdrawal
armtreat:age_std,-0.303,0.594,NCT01081834,19,early_withdrawal
armtreat:I(age_std^2),-0.651,0.457,NCT01081834,19,early_withdrawal
armtreat:sexTRUE,0.247,0.493,NCT01081834,19,early_withdrawal
armtreat:como_cnt,-0.235,0.669,NCT01081834,19,early_withdrawal
armtreat:I(como_cnt^2),0.052,0.107,NCT01081834,19,early_withdrawal
(Intercept),-0.901,0.247,NCT01081834,20,early_withdrawal
armtreat,-0.749,0.378,NCT01081834,20,early_withdrawal
age_std,-0.358,0.318,NCT01081834,20,early_withdrawal
I(age_std^2),0.115,0.253,NCT01081834,20,early_withdrawal
sexTRUE,-0.276,0.322,NCT01081834,20,early_withdrawal
armtreat:age_std,-0.245,0.575,NCT01081834,20,early_withdrawal
armtreat:I(age_std^2),-0.626,0.453,NCT01081834,20,early_withdrawal
armtreat:sexTRUE,0.212,0.488,NCT01081834,20,early_withdrawal
(Intercept),-1.154,0.241,NCT01081834,21,early_withdrawal
como_cnt,-0.051,0.091,NCT01081834,21,early_withdrawal
(Intercept),-1.247,0.428,NCT01081834,22,early_withdrawal
como_cnt,0.03,0.322,NCT01081834,22,early_withdrawal
I(como_cnt^2),-0.014,0.052,NCT01081834,22,early_withdrawal
(Intercept),-0.545,0.338,NCT01081834,23,early_withdrawal
como_cnt,-0.115,0.123,NCT01081834,23,early_withdrawal
armtreat,-1.079,0.497,NCT01081834,23,early_withdrawal
como_cnt:armtreat,0.063,0.189,NCT01081834,23,early_withdrawal
(Intercept),-0.676,0.617,NCT01081834,24,early_withdrawal
armtreat,-0.819,0.876,NCT01081834,24,early_withdrawal
como_cnt,-0.003,0.456,NCT01081834,24,early_withdrawal
I(como_cnt^2),-0.019,0.074,NCT01081834,24,early_withdrawal
armtreat:como_cnt,-0.164,0.66,NCT01081834,24,early_withdrawal
armtreat:I(como_cnt^2),0.038,0.106,NCT01081834,24,early_withdrawal
(Intercept),-1.335,0.274,NCT01081834,25,early_withdrawal
age_std,-0.243,0.168,NCT01081834,25,early_withdrawal
como_cnt,-0.015,0.094,NCT01081834,25,early_withdrawal
(Intercept),-1.431,0.446,NCT01081834,26,early_withdrawal
age_std,-0.243,0.168,NCT01081834,26,early_withdrawal
como_cnt,0.068,0.321,NCT01081834,26,early_withdrawal
I(como_cnt^2),-0.014,0.052,NCT01081834,26,early_withdrawal
(Intercept),-0.737,0.358,NCT01081834,27,early_withdrawal
age_std,-0.287,0.171,NCT01081834,27,early_withdrawal
como_cnt,-0.075,0.126,NCT01081834,27,early_withdrawal
armtreat,-1.117,0.499,NCT01081834,27,early_withdrawal
como_cnt:armtreat,0.068,0.19,NCT01081834,27,early_withdrawal
(Intercept),-0.873,0.621,NCT01081834,28,early_withdrawal
age_std,-0.288,0.171,NCT01081834,28,early_withdrawal
armtreat,-0.843,0.874,NCT01081834,28,early_withdrawal
como_cnt,0.039,0.446,NCT01081834,28,early_withdrawal
I(como_cnt^2),-0.019,0.071,NCT01081834,28,early_withdrawal
armtreat:como_cnt,-0.172,0.656,NCT01081834,28,early_withdrawal
armtreat:I(como_cnt^2),0.04,0.105,NCT01081834,28,early_withdrawal
(Intercept),-1.374,0.135,NCT01081834,29,early_withdrawal
age_std,-0.25,0.162,NCT01081834,29,early_withdrawal
(Intercept),-0.862,0.309,NCT01081834,30,early_withdrawal
armtreat,-0.793,0.279,NCT01081834,30,early_withdrawal
age_std,-0.449,0.223,NCT01081834,30,early_withdrawal
como_cnt,-0.049,0.097,NCT01081834,30,early_withdrawal
armtreat:age_std,0.389,0.338,NCT01081834,30,early_withdrawal
(Intercept),-0.879,0.476,NCT01081834,31,early_withdrawal
armtreat,-0.793,0.279,NCT01081834,31,early_withdrawal
age_std,-0.449,0.223,NCT01081834,31,early_withdrawal
como_cnt,-0.034,0.323,NCT01081834,31,early_withdrawal
I(como_cnt^2),-0.002,0.051,NCT01081834,31,early_withdrawal
armtreat:age_std,0.389,0.338,NCT01081834,31,early_withdrawal
(Intercept),-0.848,0.375,NCT01081834,32,early_withdrawal
armtreat,-0.825,0.563,NCT01081834,32,early_withdrawal
age_std,-0.447,0.226,NCT01081834,32,early_withdrawal
como_cnt,-0.054,0.128,NCT01081834,32,early_withdrawal
armtreat:age_std,0.383,0.349,NCT01081834,32,early_withdrawal
armtreat:como_cnt,0.013,0.196,NCT01081834,32,early_withdrawal
(Intercept),-0.986,0.63,NCT01081834,33,early_withdrawal
armtreat,-0.557,0.908,NCT01081834,33,early_withdrawal
age_std,-0.447,0.226,NCT01081834,33,early_withdrawal
como_cnt,0.061,0.442,NCT01081834,33,early_withdrawal
I(como_cnt^2),-0.019,0.07,NCT01081834,33,early_withdrawal
armtreat:age_std,0.383,0.35,NCT01081834,33,early_withdrawal
armtreat:como_cnt,-0.22,0.653,NCT01081834,33,early_withdrawal
armtreat:I(como_cnt^2),0.039,0.104,NCT01081834,33,early_withdrawal
(Intercept),-0.99,0.179,NCT01081834,34,early_withdrawal
armtreat,-0.785,0.278,NCT01081834,34,early_withdrawal
age_std,-0.469,0.219,NCT01081834,34,early_withdrawal
armtreat:age_std,0.385,0.337,NCT01081834,34,early_withdrawal
(Intercept),-1.327,0.275,NCT01081834,35,early_withdrawal
age_std,-0.321,0.264,NCT01081834,35,early_withdrawal
I(age_std^2),-0.075,0.193,NCT01081834,35,early_withdrawal
como_cnt,-0.011,0.095,NCT01081834,35,early_withdrawal
(Intercept),-1.418,0.447,NCT01081834,36,early_withdrawal
age_std,-0.32,0.264,NCT01081834,36,early_withdrawal
I(age_std^2),-0.073,0.193,NCT01081834,36,early_withdrawal
como_cnt,0.068,0.321,NCT01081834,36,early_withdrawal
I(como_cnt^2),-0.013,0.052,NCT01081834,36,early_withdrawal
(Intercept),-0.725,0.359,NCT01081834,37,early_withdrawal
age_std,-0.389,0.268,NCT01081834,37,early_withdrawal
I(age_std^2),-0.098,0.197,NCT01081834,37,early_withdrawal
como_cnt,-0.069,0.126,NCT01081834,37,early_withdrawal
armtreat,-1.116,0.5,NCT01081834,37,early_withdrawal
como_cnt:armtreat,0.066,0.19,NCT01081834,37,early_withdrawal
(Intercept),-0.867,0.619,NCT01081834,38,early_withdrawal
age_std,-0.396,0.269,NCT01081834,38,early_withdrawal
I(age_std^2),-0.104,0.197,NCT01081834,38,early_withdrawal
armtreat,-0.813,0.875,NCT01081834,38,early_withdrawal
como_cnt,0.051,0.443,NCT01081834,38,early_withdrawal
I(como_cnt^2),-0.02,0.071,NCT01081834,38,early_withdrawal
armtreat:como_cnt,-0.199,0.658,NCT01081834,38,early_withdrawal
armtreat:I(como_cnt^2),0.045,0.106,NCT01081834,38,early_withdrawal
(Intercept),-1.354,0.144,NCT01081834,39,early_withdrawal
age_std,-0.329,0.255,NCT01081834,39,early_withdrawal
I(age_std^2),-0.078,0.191,NCT01081834,39,early_withdrawal
(Intercept),-0.926,0.317,NCT01081834,40,early_withdrawal
armtreat,-0.655,0.301,NCT01081834,40,early_withdrawal
age_std,-0.309,0.323,NCT01081834,40,early_withdrawal
I(age_std^2),0.151,0.253,NCT01081834,40,early_withdrawal
como_cnt,-0.042,0.098,NCT01081834,40,early_withdrawal
armtreat:age_std,-0.258,0.575,NCT01081834,40,early_withdrawal
armtreat:I(age_std^2),-0.645,0.451,NCT01081834,40,early_withdrawal
(Intercept),-0.91,0.482,NCT01081834,41,early_withdrawal
armtreat,-0.655,0.301,NCT01081834,41,early_withdrawal
age_std,-0.309,0.323,NCT01081834,41,early_withdrawal
I(age_std^2),0.151,0.253,NCT01081834,41,early_withdrawal
como_cnt,-0.056,0.329,NCT01081834,41,early_withdrawal
I(como_cnt^2),0.002,0.053,NCT01081834,41,early_withdrawal
armtreat:age_std,-0.259,0.575,NCT01081834,41,early_withdrawal
armtreat:I(age_std^2),-0.646,0.451,NCT01081834,41,early_withdrawal
(Intercept),-0.876,0.379,NCT01081834,42,early_withdrawal
armtreat,-0.772,0.569,NCT01081834,42,early_withdrawal
age_std,-0.297,0.327,NCT01081834,42,early_withdrawal
I(age_std^2),0.155,0.253,NCT01081834,42,early_withdrawal
como_cnt,-0.063,0.129,NCT01081834,42,early_withdrawal
armtreat:age_std,-0.29,0.59,NCT01081834,42,early_withdrawal
armtreat:I(age_std^2),-0.656,0.453,NCT01081834,42,early_withdrawal
armtreat:como_cnt,0.048,0.199,NCT01081834,42,early_withdrawal
(Intercept),-1.003,0.635,NCT01081834,43,early_withdrawal
armtreat,-0.421,0.921,NCT01081834,43,early_withdrawal
age_std,-0.3,0.327,NCT01081834,43,early_withdrawal
I(age_std^2),0.153,0.253,NCT01081834,43,early_withdrawal
como_cnt,0.045,0.448,NCT01081834,43,early_withdrawal
I(como_cnt^2),-0.018,0.071,NCT01081834,43,early_withdrawal
armtreat:age_std,-0.309,0.594,NCT01081834,43,early_withdrawal
armtreat:I(age_std^2),-0.671,0.455,NCT01081834,43,early_withdrawal
armtreat:como_cnt,-0.263,0.668,NCT01081834,43,early_withdrawal
armtreat:I(como_cnt^2),0.053,0.108,NCT01081834,43,early_withdrawal
(Intercept),-1.034,0.196,NCT01081834,44,early_withdrawal
armtreat,-0.647,0.3,NCT01081834,44,early_withdrawal
age_std,-0.335,0.317,NCT01081834,44,early_withdrawal
I(age_std^2),0.142,0.252,NCT01081834,44,early_withdrawal
armtreat:age_std,-0.263,0.574,NCT01081834,44,early_withdrawal
armtreat:I(age_std^2),-0.647,0.45,NCT01081834,44,early_withdrawal
(Intercept),-1.058,0.27,NCT01081834,45,early_withdrawal
sexTRUE,-0.18,0.236,NCT01081834,45,early_withdrawal
como_cnt,-0.058,0.091,NCT01081834,45,early_withdrawal
(Intercept),-1.146,0.447,NCT01081834,46,early_withdrawal
sexTRUE,-0.179,0.236,NCT01081834,46,early_withdrawal
como_cnt,0.017,0.322,NCT01081834,46,early_withdrawal
I(como_cnt^2),-0.013,0.052,NCT01081834,46,early_withdrawal
(Intercept),-0.404,0.371,NCT01081834,47,early_withdrawal
sexTRUE,-0.221,0.242,NCT01081834,47,early_withdrawal
como_cnt,-0.131,0.125,NCT01081834,47,early_withdrawal
armtreat,-1.12,0.5,NCT01081834,47,early_withdrawal
como_cnt:armtreat,0.078,0.191,NCT01081834,47,early_withdrawal
(Intercept),-0.529,0.636,NCT01081834,48,early_withdrawal
sexTRUE,-0.222,0.242,NCT01081834,48,early_withdrawal
armtreat,-0.852,0.878,NCT01081834,48,early_withdrawal
como_cnt,-0.025,0.455,NCT01081834,48,early_withdrawal
I(como_cnt^2),-0.018,0.073,NCT01081834,48,early_withdrawal
armtreat:como_cnt,-0.158,0.661,NCT01081834,48,early_withdrawal
armtreat:I(como_cnt^2),0.04,0.106,NCT01081834,48,early_withdrawal
(Intercept),-1.202,0.154,NCT01081834,49,early_withdrawal
sexTRUE,-0.165,0.235,NCT01081834,49,early_withdrawal
(Intercept),-0.411,0.329,NCT01081834,50,early_withdrawal
sexTRUE,-0.357,0.32,NCT01081834,50,early_withdrawal
armtreat,-1.088,0.323,NCT01081834,50,early_withdrawal
como_cnt,-0.104,0.095,NCT01081834,50,early_withdrawal
sexTRUE:armtreat,0.333,0.484,NCT01081834,50,early_withdrawal
(Intercept),-0.425,0.491,NCT01081834,51,early_withdrawal
sexTRUE,-0.357,0.32,NCT01081834,51,early_withdrawal
armtreat,-1.087,0.323,NCT01081834,51,early_withdrawal
como_cnt,-0.092,0.327,NCT01081834,51,early_withdrawal
I(como_cnt^2),-0.002,0.053,NCT01081834,51,early_withdrawal
sexTRUE:armtreat,0.333,0.484,NCT01081834,51,early_withdrawal
(Intercept),-0.307,0.394,NCT01081834,52,early_withdrawal
sexTRUE,-0.377,0.324,NCT01081834,52,early_withdrawal
armtreat,-1.308,0.563,NCT01081834,52,early_withdrawal
como_cnt,-0.143,0.126,NCT01081834,52,early_withdrawal
sexTRUE:armtreat,0.356,0.487,NCT01081834,52,early_withdrawal
armtreat:como_cnt,0.092,0.191,NCT01081834,52,early_withdrawal
(Intercept),-0.429,0.651,NCT01081834,53,early_withdrawal
sexTRUE,-0.375,0.323,NCT01081834,53,early_withdrawal
armtreat,-1.054,0.922,NCT01081834,53,early_withdrawal
como_cnt,-0.041,0.455,NCT01081834,53,early_withdrawal
I(como_cnt^2),-0.017,0.073,NCT01081834,53,early_withdrawal
sexTRUE:armtreat,0.35,0.487,NCT01081834,53,early_withdrawal
armtreat:como_cnt,-0.128,0.66,NCT01081834,53,early_withdrawal
armtreat:I(como_cnt^2),0.037,0.106,NCT01081834,53,early_withdrawal
(Intercept),-0.693,0.207,NCT01081834,54,early_withdrawal
sexTRUE,-0.303,0.316,NCT01081834,54,early_withdrawal
armtreat,-1.039,0.319,NCT01081834,54,early_withdrawal
sexTRUE:armtreat,0.286,0.482,NCT01081834,54,early_withdrawal
(Intercept),-1.124,0.258,NCT01106677,1,early_withdrawal
age_std,-0.05,0.175,NCT01106677,1,early_withdrawal
sexTRUE,0.036,0.212,NCT01106677,1,early_withdrawal
como_cnt,-0.112,0.082,NCT01106677,1,early_withdrawal
(Intercept),-1.063,0.411,NCT01106677,2,early_withdrawal
age_std,-0.046,0.176,NCT01106677,2,early_withdrawal
sexTRUE,0.032,0.213,NCT01106677,2,early_withdrawal
como_cnt,-0.163,0.285,NCT01106677,2,early_withdrawal
I(como_cnt^2),0.009,0.045,NCT01106677,2,early_withdrawal
(Intercept),-1.106,0.381,NCT01106677,3,early_withdrawal
age_std,-0.055,0.175,NCT01106677,3,early_withdrawal
sexTRUE,0.007,0.213,NCT01106677,3,early_withdrawal
como_cnt,-0.015,0.129,NCT01106677,3,early_withdrawal
armtreat,0,0.438,NCT01106677,3,early_withdrawal
como_cnt:armtreat,-0.157,0.164,NCT01106677,3,early_withdrawal
(Intercept),-0.789,0.635,NCT01106677,4,early_withdrawal
age_std,-0.052,0.176,NCT01106677,4,early_withdrawal
sexTRUE,0.003,0.214,NCT01106677,4,early_withdrawal
armtreat,-0.389,0.769,NCT01106677,4,early_withdrawal
como_cnt,-0.292,0.46,NCT01106677,4,early_withdrawal
I(como_cnt^2),0.046,0.072,NCT01106677,4,early_withdrawal
armtreat:como_cnt,0.189,0.595,NCT01106677,4,early_withdrawal
armtreat:I(como_cnt^2),-0.058,0.096,NCT01106677,4,early_withdrawal
(Intercept),-1.407,0.157,NCT01106677,5,early_withdrawal
age_std,-0.111,0.168,NCT01106677,5,early_withdrawal
sexTRUE,0.036,0.211,NCT01106677,5,early_withdrawal
(Intercept),-0.75,0.324,NCT01106677,6,early_withdrawal
armtreat,-0.587,0.325,NCT01106677,6,early_withdrawal
age_std,-0.171,0.268,NCT01106677,6,early_withdrawal
sexTRUE,-0.364,0.347,NCT01106677,6,early_withdrawal
como_cnt,-0.107,0.083,NCT01106677,6,early_withdrawal
armtreat:age_std,0.189,0.344,NCT01106677,6,early_withdrawal
armtreat:sexTRUE,0.606,0.44,NCT01106677,6,early_withdrawal
(Intercept),-0.686,0.458,NCT01106677,7,early_withdrawal
armtreat,-0.588,0.325,NCT01106677,7,early_withdrawal
age_std,-0.167,0.269,NCT01106677,7,early_withdrawal
sexTRUE,-0.367,0.347,NCT01106677,7,early_withdrawal
como_cnt,-0.161,0.285,NCT01106677,7,early_withdrawal
I(como_cnt^2),0.009,0.045,NCT01106677,7,early_withdrawal
armtreat:age_std,0.188,0.343,NCT01106677,7,early_withdrawal
armtreat:sexTRUE,0.603,0.44,NCT01106677,7,early_withdrawal
(Intercept),-1.065,0.423,NCT01106677,8,early_withdrawal
armtreat,-0.089,0.536,NCT01106677,8,early_withdrawal
age_std,-0.247,0.274,NCT01106677,8,early_withdrawal
sexTRUE,-0.383,0.347,NCT01106677,8,early_withdrawal
como_cnt,0.02,0.134,NCT01106677,8,early_withdrawal
armtreat:age_std,0.302,0.356,NCT01106677,8,early_withdrawal
armtreat:sexTRUE,0.617,0.44,NCT01106677,8,early_withdrawal
armtreat:como_cnt,-0.201,0.172,NCT01106677,8,early_withdrawal
(Intercept),-0.703,0.679,NCT01106677,9,early_withdrawal
armtreat,-0.552,0.867,NCT01106677,9,early_withdrawal
age_std,-0.23,0.275,NCT01106677,9,early_withdrawal
sexTRUE,-0.405,0.35,NCT01106677,9,early_withdrawal
como_cnt,-0.285,0.47,NCT01106677,9,early_withdrawal
I(como_cnt^2),0.05,0.074,NCT01106677,9,early_withdrawal
armtreat:age_std,0.28,0.358,NCT01106677,9,early_withdrawal
armtreat:sexTRUE,0.646,0.443,NCT01106677,9,early_withdrawal
armtreat:como_cnt,0.19,0.607,NCT01106677,9,early_withdrawal
armtreat:I(como_cnt^2),-0.065,0.097,NCT01106677,9,early_withdrawal
(Intercept),-1.015,0.253,NCT01106677,10,early_withdrawal
armtreat,-0.596,0.324,NCT01106677,10,early_withdrawal
age_std,-0.235,0.262,NCT01106677,10,early_withdrawal
sexTRUE,-0.38,0.346,NCT01106677,10,early_withdrawal
armtreat:age_std,0.196,0.341,NCT01106677,10,early_withdrawal
armtreat:sexTRUE,0.63,0.439,NCT01106677,10,early_withdrawal
(Intercept),-1.199,0.261,NCT01106677,11,early_withdrawal
age_std,0.482,0.233,NCT01106677,11,early_withdrawal
I(age_std^2),0.593,0.189,NCT01106677,11,early_withdrawal
sexTRUE,0.001,0.214,NCT01106677,11,early_withdrawal
como_cnt,-0.133,0.083,NCT01106677,11,early_withdrawal
(Intercept),-1.221,0.422,NCT01106677,12,early_withdrawal
age_std,0.482,0.233,NCT01106677,12,early_withdrawal
I(age_std^2),0.594,0.189,NCT01106677,12,early_withdrawal
sexTRUE,0.002,0.215,NCT01106677,12,early_withdrawal
como_cnt,-0.116,0.29,NCT01106677,12,early_withdrawal
I(como_cnt^2),-0.003,0.046,NCT01106677,12,early_withdrawal
(Intercept),-1.181,0.384,NCT01106677,13,early_withdrawal
age_std,0.478,0.236,NCT01106677,13,early_withdrawal
I(age_std^2),0.586,0.19,NCT01106677,13,early_withdrawal
sexTRUE,-0.022,0.215,NCT01106677,13,early_withdrawal
como_cnt,-0.042,0.129,NCT01106677,13,early_withdrawal
armtreat,0.009,0.44,NCT01106677,13,early_withdrawal
como_cnt:armtreat,-0.152,0.164,NCT01106677,13,early_withdrawal
(Intercept),-1.028,0.653,NCT01106677,14,early_withdrawal
age_std,0.473,0.236,NCT01106677,14,early_withdrawal
I(age_std^2),0.58,0.191,NCT01106677,14,early_withdrawal
sexTRUE,-0.021,0.216,NCT01106677,14,early_withdrawal
armtreat,-0.251,0.781,NCT01106677,14,early_withdrawal
